lat,long,elevation_feet,distance_mi
47.70329,-124.40506,130.75,0.00
47.70516,-124.39059,161.51,0.69
47.70702,-124.37611,175.66,1.37
47.70889,-124.36164,210.99,2.06
47.71075,-124.34716,240.02,2.74
47.71262,-124.33269,439.00,3.43
47.71448,-124.31821,498.25,4.12
47.71635,-124.30374,372.16,4.80
47.71821,-124.28926,481.86,5.49
47.72008,-124.27479,983.64,6.17
47.72194,-124.26031,1186.83,6.86
47.72381,-124.24584,1048.08,7.54
47.72567,-124.23137,942.33,8.23
47.72754,-124.21689,754.28,8.92
47.72941,-124.20242,1198.14,9.60
47.73127,-124.18794,1619.39,10.29
47.73314,-124.17347,836.86,10.97
47.73500,-124.15899,675.05,11.66
47.73687,-124.14452,663.40,12.34
47.73873,-124.13004,1178.86,13.03
47.74060,-124.11557,1768.96,13.72
47.74246,-124.10110,2121.08,14.40
47.74433,-124.08662,2286.62,15.09
47.74619,-124.07215,2536.23,15.77
47.74806,-124.05767,2623.00,16.46
47.74992,-124.04320,2075.97,17.14
47.75179,-124.02872,2297.21,17.83
47.75365,-124.01425,2544.18,18.51
47.75552,-123.99977,2256.06,19.20
47.75738,-123.98530,2766.03,19.88
47.75925,-123.97083,3004.18,20.57
47.76111,-123.95635,3093.59,21.26
47.76298,-123.94188,1592.94,21.94
47.76484,-123.92740,2516.87,22.63
47.76671,-123.91293,1538.54,23.31
47.76857,-123.89845,1571.41,24.00
47.77044,-123.88398,1696.29,24.68
47.77230,-123.86950,1739.81,25.37
47.77417,-123.85503,968.43,26.05
47.77603,-123.84055,3260.54,26.74
47.77790,-123.82608,3549.56,27.42
47.77977,-123.81161,2744.56,28.11
47.78163,-123.79713,3641.36,28.79
47.78350,-123.78266,5401.98,29.48
47.78536,-123.76818,4652.21,30.16
47.78723,-123.75371,4741.56,30.85
47.78909,-123.73923,5345.65,31.53
47.79096,-123.72476,5046.63,32.22
47.79282,-123.71028,6333.90,32.90
47.79469,-123.69581,7280.06,33.59
47.79655,-123.68134,5963.02,34.27
